date,CPI level,city,category
2023-09-01,114.4632482539,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-10-01,114.5591545399,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-11-01,114.39879,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-12-01,114.304399854,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-01-01,114.5243883651,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-02-01,114.1368428,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-03-01,115.0043444543,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-04-01,115.5906551647,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-05-01,116.1033346812,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-06-01,116.8075299324,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-07-01,117.1956425884,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-08-01,120.073575427,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-09-01,121.5980048876,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-10-01,123.3551395419,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-11-01,128.0218405928,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2024-12-01,129.7190742451,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-01-01,130.6607956851,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-02-01,132.498805154,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-03-01,133.6252647521,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-04-01,136.3341639158,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-05-01,140.735788725,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-06-01,145.200755959,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-07-01,150.2013604365,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-08-01,153.0566734799,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-09-01,153.7940108136,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-10-01,155.5733762531,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-11-01,156.812527498,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2025-12-01,159.4039081176,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-01-01,163.3589816293,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-02-01,165.7866118928,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2026-03-01,168.7492910456,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
